key,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Arena,Notes
251,Mon Nov 21 2022,8:00p,Portland Trail Blazers,,Milwaukee Bucks,,,Fiserv Forum,
252,Mon Nov 21 2022,8:00p,Miami Heat,,Minnesota Timberwolves,,,Target Center,
253,Mon Nov 21 2022,8:00p,Golden State Warriors,,New Orleans Pelicans,,,Smoothie King Center,
254,Mon Nov 21 2022,8:00p,New York Knicks,,Oklahoma City Thunder,,,Paycom Center,
255,Mon Nov 21 2022,10:30p,Utah Jazz,,Los Angeles Clippers,,,Crypto.com Arena,
256,Tue Nov 22 2022,7:30p,Brooklyn Nets,,Philadelphia 76ers,,,Wells Fargo Center,
257,Tue Nov 22 2022,8:00p,Sacramento Kings,,Memphis Grizzlies,,,FedEx Forum,
258,Tue Nov 22 2022,9:00p,Detroit Pistons,,Denver Nuggets,,,Ball Arena,
259,Tue Nov 22 2022,10:00p,Los Angeles Lakers,,Phoenix Suns,,,Footprint Center,
260,Wed Nov 23 2022,7:00p,Philadelphia 76ers,,Charlotte Hornets,,,Spectrum Center,
261,Wed Nov 23 2022,7:00p,Portland Trail Blazers,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
262,Wed Nov 23 2022,7:00p,Minnesota Timberwolves,,Indiana Pacers,,,Gainbridge Fieldhouse,
263,Wed Nov 23 2022,7:30p,Sacramento Kings,,Atlanta Hawks,,,State Farm Arena,
264,Wed Nov 23 2022,7:30p,Dallas Mavericks,,Boston Celtics,,,TD Garden,
265,Wed Nov 23 2022,7:30p,Washington Wizards,,Miami Heat,,,FTX Arena,
266,Wed Nov 23 2022,7:30p,Brooklyn Nets,,Toronto Raptors,,,Scotiabank Arena,
267,Wed Nov 23 2022,8:00p,Chicago Bulls,,Milwaukee Bucks,,,Fiserv Forum,
268,Wed Nov 23 2022,8:00p,Denver Nuggets,,Oklahoma City Thunder,,,Paycom Center,
269,Wed Nov 23 2022,8:00p,New Orleans Pelicans,,San Antonio Spurs,,,AT&T Center,
270,Wed Nov 23 2022,9:00p,Detroit Pistons,,Utah Jazz,,,Vivint Arena,
271,Wed Nov 23 2022,10:00p,Los Angeles Clippers,,Golden State Warriors,,,Chase Center,
272,Fri Nov 25 2022,5:00p,Minnesota Timberwolves,,Charlotte Hornets,,,Spectrum Center,
